example_id                                                             | status | run_time        |
./spec/requests/checkouts_spec.rb[1:2:1]                               | passed | 0.06008 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:1]                           | passed | 0.0607 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:1:2]                           | passed | 0.06044 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:3]                           | passed | 0.06053 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:4:1]                         | passed | 0.06542 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:1:1]                         | passed | 0.06591 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:1]                         | passed | 0.06995 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:2]                         | passed | 0.05896 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:3:1]                           | passed | 0.0551 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:4:1:1]                         | passed | 0.06254 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:2:1]                         | passed | 0.05095 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:3:1]                         | passed | 0.05033 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:1]                           | passed | 0.0887 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:5:2]                           | passed | 0.07532 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:3]                           | passed | 0.08144 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:1]                             | passed | 0.06422 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:2]                             | passed | 0.0397 seconds  |
./spec/requests/checkouts_spec.rb[1:2:4:1]                             | passed | 0.03865 seconds |
./spec/requests/checkouts_spec.rb[1:2:5:1]                             | passed | 0.07353 seconds |
./spec/requests/checkouts_spec.rb[1:2:6:1:1]                           | passed | 0.0438 seconds  |
./spec/requests/checkouts_spec.rb[1:2:6:2:1]                           | passed | 0.05744 seconds |
./spec/requests/checkouts_spec.rb[1:2:7:1]                             | passed | 0.07169 seconds |
./spec/requests/checkouts_spec.rb[1:2:8:1:1]                           | passed | 0.04535 seconds |
./spec/requests/checkouts_spec.rb[1:2:8:2:1:1]                         | passed | 0.04682 seconds |
./spec/requests/checkouts_spec.rb[1:3:1:1]                             | passed | 0.03737 seconds |
./spec/requests/checkouts_spec.rb[1:3:1:2]                             | passed | 0.03974 seconds |
./spec/requests/checkouts_spec.rb[1:4:1]                               | passed | 0.05461 seconds |
./spec/requests/checkouts_spec.rb[1:4:2]                               | passed | 0.05021 seconds |
./spec/requests/checkouts_spec.rb[1:5:1]                               | passed | 0.07396 seconds |
./spec/requests/current_order_tracking_spec.rb[1:1]                    | passed | 0.08371 seconds |
./spec/requests/current_order_tracking_spec.rb[1:2:1]                  | passed | 0.07579 seconds |
./spec/requests/home_spec.rb[1:1]                                      | passed | 0.01229 seconds |
./spec/requests/home_spec.rb[1:2:1]                                    | passed | 0.01006 seconds |
./spec/requests/locale_spec.rb[1:1:1:1]                                | passed | 0.00674 seconds |
./spec/requests/locale_spec.rb[1:1:2:1]                                | passed | 0.00787 seconds |
./spec/requests/locale_spec.rb[1:2:1:1]                                | passed | 0.00827 seconds |
./spec/requests/locale_spec.rb[1:2:2:1]                                | passed | 0.00761 seconds |
./spec/requests/locale_spec.rb[1:3:1]                                  | passed | 0.0046 seconds  |
./spec/requests/orders_ability_spec.rb[1:1]                            | passed | 0.00271 seconds |
./spec/requests/orders_ability_spec.rb[1:2:1:1]                        | passed | 0.01247 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:1:1]                      | passed | 0.01887 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:1:2]                      | passed | 0.01938 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:2:1]                      | passed | 0.00402 seconds |
./spec/requests/orders_transitions_spec.rb[1:1:1]                      | passed | 0.04091 seconds |
./spec/requests/products_spec.rb[1:1:1]                                | passed | 0.01919 seconds |
./spec/requests/products_spec.rb[1:1:2]                                | passed | 0.02349 seconds |
./spec/requests/products_spec.rb[1:2:1]                                | passed | 0.03199 seconds |
